Date,Time,Open value,Highest value,Lowest value,Close value,Volume
12/21/2021,  9:15:00 AM, 3582.65,3589,3566.4,3577.95,76904
12/21/2021,  9:20:00 AM, 3577.55,3599,3577.45,3597.3,54510
12/21/2021,  9:25:00 AM, 3597.15,3599,3585,3585,42751
12/21/2021,  9:30:00 AM, 3584,3592.9,3581.1,3592.2,53571
12/21/2021,  9:35:00 AM, 3592.9,3597,3590,3592.9,49284
12/21/2021,  9:40:00 AM, 3592.95,3606.8,3592.1,3606,46963
12/21/2021,  9:45:00 AM, 3605,3619,3602.15,3616,56892
12/21/2021,  9:50:00 AM, 3617.7,3628.6,3616.05,3624.85,59290
12/21/2021,  9:55:00 AM, 3624,3625,3618.6,3619.9,38102
12/21/2021,  10:00:00 AM, 3619.8,3630.9,3619.8,3630.6,59896
12/21/2021,  10:05:00 AM, 3631,3631.5,3625.9,3628.65,42410
12/21/2021,  10:10:00 AM, 3628.65,3636,3627.25,3630.6,78822
12/21/2021,  10:15:00 AM, 3630.35,3634.9,3627.35,3628.7,31605
12/21/2021,  10:20:00 AM, 3628.7,3631.95,3623.8,3630.65,39804
12/21/2021,  10:25:00 AM, 3630.65,3636,3630.65,3635,34080
12/21/2021,  10:30:00 AM, 3635,3641.2,3632.9,3633.55,46950
12/21/2021,  10:35:00 AM, 3633.75,3640,3630.25,3632.15,24302
12/21/2021,  10:40:00 AM, 3632.15,3635,3631,3634.75,14302
12/21/2021,  10:45:00 AM, 3634.55,3639.3,3632.9,3632.9,31162
12/21/2021,  10:50:00 AM, 3632.9,3635,3628.4,3634.75,22784
12/21/2021,  10:55:00 AM, 3634.75,3635,3630.65,3631.6,13866
12/21/2021,  11:00:00 AM, 3631.6,3631.65,3628.15,3629.95,18995
12/21/2021,  11:05:00 AM, 3629.95,3630,3621.8,3625.6,27086
12/21/2021,  11:10:00 AM, 3625.85,3632.5,3625.6,3631.25,18946
12/21/2021,  11:15:00 AM, 3631.25,3631.45,3625,3626.3,13949
12/21/2021,  11:20:00 AM, 3626.3,3630,3626,3628.95,11647
12/21/2021,  11:25:00 AM, 3628.95,3630.75,3624.55,3626.9,35305
12/21/2021,  11:30:00 AM, 3626.15,3629.95,3625,3627.95,15564
12/21/2021,  11:35:00 AM, 3628,3630,3627,3628.95,16518
12/21/2021,  11:40:00 AM, 3628.95,3630.3,3627.9,3629.95,24388
12/21/2021,  11:45:00 AM, 3630,3635,3625.1,3632.3,96253
12/21/2021,  11:50:00 AM, 3632.3,3634,3630,3630.9,10710
12/21/2021,  11:55:00 AM, 3631.8,3632,3630,3630.85,11683
12/21/2021,  12:00:00 PM, 3630.9,3634.75,3630.1,3631.55,13161
12/21/2021,  12:05:00 PM, 3631.5,3633,3630,3631,13898
12/21/2021,  12:10:00 PM, 3631,3631,3628,3629.95,37170
12/21/2021,  12:15:00 PM, 3629.95,3631,3628.05,3628.25,24169
12/21/2021,  12:20:00 PM, 3628.75,3629,3625.1,3627.15,12433
12/21/2021,  12:25:00 PM, 3627.25,3628,3623.45,3625,12274
12/21/2021,  12:30:00 PM, 3625,3630.9,3624.1,3630.65,14326
12/21/2021,  12:35:00 PM, 3630.65,3631,3630,3630.1,9892
12/21/2021,  12:40:00 PM, 3630.75,3632,3630.1,3631,10690
12/21/2021,  12:45:00 PM, 3631.05,3633.2,3630.6,3633.15,14652
12/21/2021,  12:50:00 PM, 3633.1,3636,3630,3635.95,36240
12/21/2021,  12:55:00 PM, 3634.5,3636,3632.1,3635.9,13869
12/21/2021,  1:00:00 PM, 3635.9,3638,3633.3,3634.95,21161
12/21/2021,  1:05:00 PM, 3634.95,3636,3627.7,3629.25,26682
12/21/2021,  1:10:00 PM, 3629.25,3631.65,3625.3,3627.05,21913
12/21/2021,  1:15:00 PM, 3627.05,3631.9,3622.45,3630.2,26146
12/21/2021,  1:20:00 PM, 3631.4,3632,3627.45,3631,14568
12/21/2021,  1:25:00 PM, 3630.45,3631,3626,3629.95,8476
12/21/2021,  1:30:00 PM, 3629.95,3630,3626.1,3629.9,11285
12/21/2021,  1:35:00 PM, 3629.9,3630,3624.5,3624.95,7366
12/21/2021,  1:40:00 PM, 3624.95,3628,3624.65,3626.8,9034
12/21/2021,  1:45:00 PM, 3626.85,3630,3625,3628.95,14604
12/21/2021,  1:50:00 PM, 3629,3630,3628.2,3629.95,10871
12/21/2021,  1:55:00 PM, 3630,3630,3625.35,3626.25,13406
12/21/2021,  2:00:00 PM, 3626,3626,3618.15,3619.1,25088
12/21/2021,  2:05:00 PM, 3619.05,3619.05,3608,3615,53199
12/21/2021,  2:10:00 PM, 3615,3622.6,3613.4,3617.8,23382
12/21/2021,  2:15:00 PM, 3617.8,3618.45,3611.65,3614.05,18965
12/21/2021,  2:20:00 PM, 3614.05,3614.05,3605.45,3607.6,22493
12/21/2021,  2:25:00 PM, 3607.6,3609.65,3601,3606.2,27727
12/21/2021,  2:30:00 PM, 3606.3,3608,3593.7,3593.95,35214
12/21/2021,  2:35:00 PM, 3593.95,3599,3592.85,3597.7,23314
12/21/2021,  2:40:00 PM, 3597.7,3611.4,3596.5,3607,25625
12/21/2021,  2:45:00 PM, 3607,3614.8,3606.25,3613.9,20449
12/21/2021,  2:50:00 PM, 3613.7,3624.7,3612.55,3621,24017
12/21/2021,  2:55:00 PM, 3621.85,3621.85,3614.05,3620.9,20622
12/21/2021,  3:00:00 PM, 3621.85,3621.85,3604.25,3608.2,81236
12/21/2021,  3:05:00 PM, 3608.2,3612,3604.4,3609.35,57903
12/21/2021,  3:10:00 PM, 3609.9,3611.75,3605.05,3606.7,57436
